student_id,grade_level,attendance_pct,grades_avg,discipline_count,clubs_participation,family_support,hours_study_per_week,dropout_risk,dropout,risk_score,risk_level
1,7,94,72,1,0,5,9.6,0,0,23.6,Low
2,4,93,73,0,1,1,10.4,1,0,18.7,Low
3,11,71,45,0,0,4,19.1,0,0,41.8,Medium
4,8,78,75,0,1,2,8.2,1,0,21.9,Low
5,5,78,86,0,0,4,5.1,0,0,15.1,Low
6,7,77,56,2,1,4,0.0,0,0,43.4,Medium
7,10,76,76,0,1,3,3.2,0,0,21.8,Low
8,3,78,83,0,0,3,12.9,0,0,17.0,Low
9,7,88,78,0,0,4,10.9,0,0,16.9,Low
10,11,89,80,1,0,2,2.6,1,0,20.6,Low
11,11,84,66,0,1,4,17.9,0,0,25.3,Low
12,8,80,53,2,0,3,9.3,0,0,44.4,Medium
13,5,97,63,2,1,2,9.8,1,0,33.4,Medium
14,4,84,61,1,0,4,17.0,0,0,33.3,Medium
15,8,94,68,0,1,5,15.0,0,0,21.0,Low
16,8,79,86,0,1,5,11.1,0,0,14.7,Low
17,3,89,50,0,1,4,11.3,0,0,33.4,Medium
18,6,98,72,1,0,2,11.7,1,0,22.7,Low
19,5,58,54,2,0,4,7.0,1,0,50.3,Medium
20,2,78,58,0,1,4,9.1,0,0,31.9,Medium
21,8,90,78,3,0,3,10.3,0,0,31.4,Medium
22,12,97,52,1,0,5,7.5,0,0,34.7,Medium
23,6,87,81,0,0,3,4.1,0,0,15.5,Low
24,2,85,49,2,0,3,6.9,0,0,45.3,Medium
25,12,100,80,2,0,4,4.0,0,0,22.1,Low
26,5,97,46,0,0,3,8.3,0,0,33.5,Medium
27,1,76,60,1,0,5,0.9,0,0,36.2,Medium
28,12,86,98,2,1,3,9.4,0,0,15.6,Low
29,10,88,95,2,1,5,1.5,0,0,16.6,Low
30,6,100,63,2,1,3,6.4,0,0,32.4,Medium
31,12,93,75,1,1,5,10.0,0,0,22.1,Low
32,9,83,88,1,0,3,11.2,0,0,17.5,Low
33,1,87,80,0,0,3,10.7,0,0,16.1,Low
34,11,66,65,3,0,2,9.3,1,0,46.5,Medium
35,11,94,58,0,0,5,3.5,0,0,27.0,Low
36,10,91,83,0,1,5,11.9,0,0,12.9,Low
37,12,97,86,1,0,5,3.6,0,0,14.3,Low
38,12,83,95,0,0,1,12.4,1,0,8.5,Low
39,3,86,44,0,0,3,10.5,0,0,38.0,Medium
40,12,80,51,2,0,5,13.4,0,0,45.4,Medium
41,7,73,87,1,1,1,8.1,1,0,21.3,Low
42,4,78,46,1,0,2,4.7,1,0,44.3,Medium
43,9,66,88,1,1,5,2.8,1,0,22.4,Low
44,3,94,66,2,0,5,3.3,0,0,32.2,Medium
45,5,63,62,2,0,1,1.5,1,0,44.3,Medium
46,3,100,73,1,1,3,11.8,0,0,21.4,Low
47,7,67,49,1,0,2,12.3,1,1,45.8,Medium
48,5,99,82,1,1,5,10.2,0,0,16.1,Low
49,9,75,95,3,1,3,7.9,0,0,25.7,Low
50,7,90,83,1,1,2,16.2,1,0,18.5,Low
51,2,77,66,1,1,4,7.6,0,0,32.4,Medium
52,4,100,46,0,0,4,8.9,0,0,32.5,Medium
53,9,85,47,2,1,2,7.8,1,0,46.6,Medium
54,12,95,50,1,0,1,6.6,1,0,36.9,Medium
55,2,85,69,1,1,2,10.5,1,0,28.4,Low
56,10,88,71,0,1,2,5.5,1,0,21.3,Low
57,9,91,83,3,1,1,5.2,1,0,28.3,Low
58,10,79,43,0,1,1,10.7,1,0,40.9,Medium
59,5,72,89,1,0,3,6.0,0,0,20.2,Low
60,2,71,80,4,1,3,8.5,1,0,40.9,Medium
61,4,85,65,1,1,1,6.6,1,0,30.9,Medium
62,12,80,52,1,1,4,8.0,0,0,39.9,Medium
63,12,63,88,2,1,4,5.3,1,0,28.4,Low
64,7,90,65,1,0,2,5.4,1,0,29.3,Low
65,12,72,69,1,0,5,4.7,0,0,32.0,Medium
66,8,73,75,0,0,2,11.4,1,0,23.4,Low
67,3,84,56,0,1,2,8.7,1,0,31.5,Medium
68,1,75,65,2,0,5,11.7,0,0,38.5,Medium
69,4,86,82,1,0,1,12.1,1,0,20.4,Low
70,2,100,81,0,0,4,6.2,0,0,11.5,Low
71,8,81,81,1,1,2,11.5,1,0,22.4,Low
72,4,74,52,0,0,5,7.9,0,0,36.6,Medium
73,2,86,66,1,0,3,7.4,0,0,29.8,Low
74,6,77,64,1,0,2,13.0,1,0,33.8,Medium
75,6,85,76,2,0,4,10.2,0,0,29.0,Low
76,10,88,75,2,0,1,6.6,1,0,29.0,Low
77,4,84,72,2,0,2,10.0,1,0,31.9,Medium
78,6,85,100,0,0,2,2.9,1,0,4.8,Low
79,2,86,65,0,1,5,9.0,0,0,25.2,Low
80,10,100,63,3,1,3,2.0,0,0,37.4,Medium
81,12,82,52,1,0,3,4.1,0,0,39.4,Medium
82,2,86,46,3,1,1,10.3,1,0,52.0,Medium
83,10,93,51,1,0,4,0.0,0,0,36.6,Medium
84,4,89,59,1,1,1,15.2,1,0,33.3,Medium
85,8,81,89,1,1,2,11.3,1,0,17.6,Low
86,7,94,70,3,0,2,0.6,1,0,35.1,Medium
87,12,76,72,0,0,3,17.6,0,0,24.2,Low
88,9,82,68,0,0,4,18.7,0,0,24.7,Low
89,8,77,75,3,0,5,7.3,0,0,36.9,Medium
90,5,90,91,3,1,4,4.3,0,0,23.5,Low
91,2,96,40,2,0,2,14.7,1,0,47.5,Medium
92,5,87,88,3,0,5,6.6,0,0,26.1,Low
93,8,85,32,0,0,4,8.6,1,0,45.4,Medium
94,10,76,70,0,0,4,12.9,0,0,25.3,Low
95,9,77,100,1,0,5,7.4,0,0,11.9,Low
96,12,73,80,1,0,2,7.0,1,0,25.4,Low
97,12,63,75,5,1,4,2.9,1,0,51.2,Medium
98,12,81,100,0,0,5,5.5,0,0,5.7,Low
99,9,82,59,1,0,2,7.0,1,0,35.3,Medium
