student_id,grade_level,attendance_pct,grades_avg,discipline_count,clubs_participation,family_support,hours_study_per_week,dropout_risk
1,7,94,72,1,0,5,9.6,0
2,4,93,73,0,1,1,10.4,1
3,11,71,45,0,0,4,19.1,0
4,8,78,75,0,1,2,8.2,1
5,5,78,86,0,0,4,5.1,0
6,7,77,56,2,1,4,0.0,0
7,10,76,76,0,1,3,3.2,0
8,3,78,83,0,0,3,12.9,0
9,7,88,78,0,0,4,10.9,0
10,11,89,80,1,0,2,2.6,1
11,11,84,66,0,1,4,17.9,0
12,8,80,53,2,0,3,9.3,0
13,5,97,63,2,1,2,9.8,1
14,4,84,61,1,0,4,17.0,0
15,8,94,68,0,1,5,15.0,0
16,8,79,86,0,1,5,11.1,0
17,3,89,50,0,1,4,11.3,0
18,6,98,72,1,0,2,11.7,1
19,5,58,54,2,0,4,7.0,1
